dt,time_entry_id,project_id,user_id,billable,hours,billable_hours
2025-11-28,67c592453f4d6b42ba2ee7bb,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-27,67c592453f4d6b42ba2ee7ba,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-26,67c592453f4d6b42ba2ee7b9,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-25,67c592453f4d6b42ba2ee7b8,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-24,67c592453f4d6b42ba2ee7b7,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-21,67c59240f348c9209606ae8f,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-20,67c59240f348c9209606ae8e,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-19,67c59240f348c9209606ae8d,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-18,67c59240f348c9209606ae8c,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-17,67c59240f348c9209606ae8b,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-14,67c5923d0385fa0d4ba59913,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-13,67c5923d0385fa0d4ba59912,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-12,67c5923d0385fa0d4ba59911,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-11,67c5923d0385fa0d4ba59910,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-10,67c5923d0385fa0d4ba5990f,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-07,67c5923a2df0c337fe6c0555,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-06,67c5923a2df0c337fe6c0554,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-05,67c5923a2df0c337fe6c0553,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-04,67c5923a2df0c337fe6c0552,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-11-03,67c5923a2df0c337fe6c0551,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-31,67c592371b39f63db6d9e39d,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-30,67c592371b39f63db6d9e39c,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-29,67c592371b39f63db6d9e39b,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-28,67c592371b39f63db6d9e39a,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-27,67c592371b39f63db6d9e399,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-24,67c592346730bf39cde62e27,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-23,67c592346730bf39cde62e26,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-22,67c592346730bf39cde62e25,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-21,67c592346730bf39cde62e24,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-20,67c592346730bf39cde62e23,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-17,67c592313f4d6b42ba2ee571,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-16,67c592313f4d6b42ba2ee570,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-15,67c592313f4d6b42ba2ee56f,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-14,67c592313f4d6b42ba2ee56e,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-13,67c592313f4d6b42ba2ee56d,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-10,67c5922e06e74856b13d9a6d,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-09,67c5922e06e74856b13d9a6c,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-08,67c5922e06e74856b13d9a6b,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-07,67c5922e06e74856b13d9a6a,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-06,67c5922e06e74856b13d9a69,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-03,67c5922b6730bf39cde62d20,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-02,67c5922b6730bf39cde62d1f,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-10-01,67c5922b6730bf39cde62d1e,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-09-30,67c5922b6730bf39cde62d1d,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
2025-09-29,67c5922b6730bf39cde62d1c,60106d6e9ab6ce7c1dacbc9c,64e5f63d97f5910c716406b8,false,8.0,
